geo,TIME_PERIOD,education_NEET_rate,bad_health_rate,unemployment_primary,unemployment_secondary,unemployment_tertiary,temporary_contract_rate,unemployment_benefit_expenditure,housing_cost_overburden_rate,minimum_wage_euro_2022,gdp_growth_2022
Albania,2022,,,,,,,18.41,,269.0,6.1
Austria,2022,9.5,4.1,16.7,7.2,6.0,9.7,821.93,7.400000000000001,,4.1
Belgium,2022,10.0,3.5,27.5,15.0,9.7,13.1,500.44,7.7,1842.0,3.4
Bosnia and Herzegovina,2022,27.2,,50.0,33.7,16.6,,24.600000000000005,,,
Bulgaria,2022,16.6,,,8.4,,,69.27,15.1,363.0,4.7
Croatia,2022,14.199999999999998,0.0,,13.5,21.8,,67.28,3.7999999999999994,622.0,7.400000000000001
Cyprus,2022,17.7,1.3,19.8,16.8,14.4,5.5,275.19,2.5,,5.2
Czechia,2022,10.2,4.8,16.7,3.7999999999999994,3.7999999999999994,10.1,104.12,6.900000000000001,655.0,0.4000000000000001
Denmark,2022,9.6,8.2,9.7,8.8,12.0,14.300000000000002,534.54,14.699999999999998,,0.6
Estonia,2022,15.0,2.7000000000000006,24.7,15.0,,,170.35,4.9,654.0,-0.10000000000000002
Finland,2022,11.0,7.3,20.0,10.4,,21.7,737.9500000000002,5.400000000000001,,0.5
France,2022,14.9,7.599999999999999,30.399999999999995,16.2,11.0,18.3,701.25,6.5,1646.0,2.3
Germany,2022,9.0,5.1,8.0,3.9,3.6,14.699999999999998,450.07,11.9,1739.0,0.6
Greece,2022,18.9,3.2999999999999994,45.70000000000001,28.0,27.3,21.399999999999995,174.23,26.7,832.0,6.400000000000001
Hungary,2022,14.300000000000002,0.0,18.9,7.099999999999999,,,43.49,8.1,504.0,4.6
Iceland,2022,4.9,,,5.5,,11.4,682.44,,,6.5
Ireland,2022,10.5,0.10000000000000002,,7.099999999999999,8.6,4.7,483.18,3.7000000000000006,1775.0,6.400000000000001
Italy,2022,21.5,2.3,31.5,19.2,17.0,21.399999999999995,472.89000000000004,6.599999999999999,,5.0
Kosovo*,2022,,,,,,,,,,
Latvia,2022,15.0,0.0,,14.5,,,110.19,5.400000000000001,500.0,1.7
Lithuania,2022,13.300000000000002,,,10.699999999999998,9.6,,180.36,3.5,730.0,1.7
Luxembourg,2022,8.9,5.0,19.8,12.5,,7.400000000000001,749.65,9.0,2313.0,-3.2000000000000006
Malta,2022,8.1,2.0,20.8,5.5,,3.6,232.58,2.9,792.0,1.6000000000000003
Montenegro,2022,,0.5,,,,,63.62,5.8,533.0,6.8
Netherlands,2022,3.9,7.900000000000001,6.599999999999999,5.5,5.900000000000001,30.7,260.61,10.0,1756.0,4.0
North Macedonia,2022,,,,,,,,,,3.1
Norway,2022,7.7,3.9,10.699999999999998,6.099999999999999,,7.400000000000001,389.87000000000006,12.4,,2.3
Poland,2022,12.300000000000002,0.0,19.4,9.2,9.7,,33.16,5.599999999999999,642.0,3.0
Portugal,2022,10.1,12.800000000000002,26.899999999999995,14.0,16.6,,157.48,5.0,823.0,6.400000000000001
Romania,2022,24.0,,22.100000000000005,17.8,16.1,,9.89,8.5,516.0,4.4
Serbia,2022,18.4,0.0,35.7,20.8,15.699999999999998,,36.71,14.800000000000002,402.0,5.2
Slovakia,2022,13.300000000000002,0.0,,13.1,,,131.62,2.5,646.0,0.10000000000000002
Slovenia,2022,7.099999999999999,1.8999999999999997,,8.7,,,169.06,4.1,1074.0,2.6
Spain,2022,14.4,4.2,36.7,25.2,19.7,18.1,474.67,9.2,1167.0,5.2
Sweden,2022,7.400000000000001,3.2999999999999994,30.7,11.0,9.5,16.6,399.3,9.1,,0.4000000000000001
Switzerland,2022,,4.4,10.0,5.900000000000001,6.7,12.5,741.46,13.300000000000002,,2.2
TÃ¼rkiye,2022,31.600000000000005,0.0,17.7,18.8,28.3,,9.74,11.199999999999998,374.0,4.5
Ukraine,2022,,,,,,,,,211.0,
